livros.dat

1 - 10 liá‰es sobre hume; Marconi Pequeno; Editora Vozes; 1a ed.; 2012; 166 pag.; R$ 10
210 - enciclopÇdia mirador internacional vol. 1 - 20; Antìnio Houaiss (editor chefe)... [et al.]; Editora Encyclopaedia Britannica do Brasil Publicaá‰es; 2a ed.; 1995; 11565 pag.; R$ 750
211 - enciclopÇdia tÇcnica universal globo vol. vii, tomo v: equaá‰es diferenciais e aplicaá‰es; J. Quinet; Editora Globo; 1a ed.; 1970; 264 pag.; R$ 10
212 - encontro com a matem†tica; Lars Garding; Editora Universidade de Bras°lia; 1a ed.; 1981; 323 pag.; R$ 50
213 - ensaio sobre a liberdade; Stuart Mill; Editora Escala; 1a ed.; 2006; 157 pag.; R$ 8
214 - ensaios anal°ticos; Mario Henrique Simonsen; Editora Fundaá∆o Get£lio Vargas; 1a ed.; 1994; 426 pag.; R$ 20
215 - entendendo acumpuntura; Stephen J. Birch e Robert L. Felt; Editora Roca; 1a ed.; 2002; 420 pag.; R$ 30
216 - entendendo Çtica: um guia ilustrado; Dave Robinson e Chris Garratt; Editora Leya; 1a ed.; 2013; 176 pag.; R$ 30
217 - eram os deuses astronautas?; Erich von Daniken; Editora C°rculo do Livro; 1a ed.; 1968; 181 pag.; R$ 20
218 - escurid∆o total sem estrelas; Stephen King; Editora Suma de Letras; 1a ed.; 2015; 390 pag.; R$ 30
219 - esperanto sem mestre; Francisco Valdomiro Lorenz; Editora FEB; 7a ed.; 1978; 396 pag.; R$ 60
220 - esp°rito, perisp°rito e alma; Hernani Guimar∆es Andrade; Editora Pensamento; 1a ed.; 1984; 246 pag.; R$ 5
221 - estatuto dos funcion†rios p£blicos civis do estado do rio de janeiro; ; Editora AnLuiRenan; 11a ed.; 2012; 236 pag.; R$ 10
222 - estranha apariá∆o; Luiza Lobo; Editora Rocco; 1a ed.; 2000; 159 pag.; R$ 5
223 - estrutura da matÇria; Vera Lucia Duarte de Navais; Editora Atual; 2a ed.; 1981; 256 pag.; R$ 5
224 - estruturas de dados e algoritmos com javascript; Loiane Groner; Editora Novatec/Packt; 2a ed.; 2021; 406 pag.; R$ 60
225 - etaque e contra-ataque no xadrez; Fred Reinfeld; Editora Ibrasa; 19a ed.; 2005; 168 pag.; R$ 25
226 - fabulas de esopo; Esopo; Editora Martin Claret; 1a ed.; 2004; 207 pag.; R$ 5
227 - fabulas de la fontaine; La Fountaine; Editora Martin Claret; 1a ed.; 2006; 304 pag.; R$ 5
228 - fant†stica f†brica de brinquedos com sucata; Heliana Brand∆o; Editora O Sol; 1a ed.; 2004; 168 pag.; R$ 20
229 - ferramentas para sonhadores; Robert B. Dilts, Todd Epstein e Robert W. Dilts; Editora Rocco; 1a ed.; 2004; 358 pag.; R$ 5
230 - filosofando: introduá∆o Ö filosofia; M. L£cia de A. Aranha e M. Helena P. Martins; Editora Moderna; 1a ed.; 1991; 443 pag.; R$ 5
231 - filosofia da misÇria - tomo 1; Pierre-Joseph Proudhon; Editora Escala; 1a ed.; 2007; 388 pag.; R$ 5
232 - filosofia da misÇria - tomo 2; Pierre-Joseph Proudhon; Editora Escala; 1a ed.; 2007; 428 pag.; R$ 5
233 - fique por dentro da f°sica moderna; John Gribbin; Editora Cosac e Naify; 2a ed.; 2002; 192 pag.; R$ 20
234 - foráas de elite: tÇcnicas de sobrevivància; Patrick Wilson; Editora Escala; 1a ed.; 2010; 48 pag.; R$ 20
235 - frutas no brasil: nativas e ex¢ticas (de consumo in natura); Harri Lorenzi... [et al.]; Editora Instituto Plantarum de Estudos da Flora; 1a ed.; 2015; 768 pag.; R$ 150
236 - fund. de matem†tica elementar 01: conjuntos e funá‰es; Gelson Iezzi e Carlos Murakami; Editora Atual; 8a ed.; 2005; 373 pag.; R$ 50
237 - fund. de matem†tica elementar 02: logaritmos; Gelson Iezzi... [et al.]; Editora Atual; 9a ed.; 2004; 198 pag.; R$ 30
238 - fund. de matem†tica elementar 03: trigonometria; Gelson Iezzi; Editora Atual; 7a ed.; 1993; 303 pag.; R$ 50
239 - fund. de matem†tica elementar 04: sequàncias, matrizes, determinantes e sistemas ; Gelson Iezzi e SAmuel Hazzan; Editora Atual; 2a ed.; 1977; 228 pag.; R$ 50
240 - fund. de matem†tica elementar 05: combinat¢ria e probabilidade; Samuel Hazzan; Editora Atual; 4a ed.; 1981; 148 pag.; R$ 30
241 - fund. de matem†tica elementar 06: complexos, polinìmios e equaá‰es; Gelson Iezzi; Editora Atual; 7a ed.; 2005; 250 pag.; R$ 50
242 - fund. de matem†tica elementar 08: limites, derivadas, noá‰es de integral; Gelson Iezzi... [et al.]; Editora Atual; 5a ed.; 1993; 269 pag.; R$ 100
243 - fund. de matem†tica elementar 09: geometria plana; Osvaldo Dolce e JosÇ Nicolau Pompeo; Editora Atual; 8a ed.; 2005; 456 pag.; R$ 100
244 - fund. de matem†tica elementar 10: geometria espacial; Osvaldo Dolce e JosÇ Nicolau Pompeo; Editora Atual; 5a ed.; 1993; 439 pag.; R$ 100
245 - fundamentos da programaá∆o de computadores: algoritmos, pascal, c/c++ e java; Ana Fernanda G. Ascenio e Edilene A. V. de Campos; Editora Pearson; 2a ed.; 2007; 434 pag.; R$ 50
246 - fundamentos de html5 e css3; Maur°cio Samy Silva; Editora Novatec; 1a ed.; 2015; 302 pag.; R$ 50
247 - fundamentos de †lgebra; Angela Vidigal... [et al.]; Editora UFMG; 1a ed.; 2005; 199 pag.; R$ 20
248 - fundamentos do marxismo-leninismo; O. V. Kuucinen... [et al.]; Editora Vit¢ria; 1a ed.; 1962; 775 pag.; R$ 50
249 - f°sica 1: mecÉnica; GREF; Editora Edusp; 5a ed.; 1999; 329 pag.; R$ 30
250 - f°sica 2: f°sica tÇrmica e ¢ptica; GREF; Editora Edusp; 3a ed.; 1996; 363 pag.; R$ 30
251 - f°sica 3: eletromagnetismo; GREF; Editora Edusp; 4a ed.; 2000; 438 pag.; R$ 30
252 - f°sica do dia a dia vol. 1; Regina Pinto de Carvalho; Editora Autàntica; 3a ed.; 2019; 86 pag.; R$ 20
253 - f°sica do dia a dia vol. 2; Regina Pinto de Carvalho; Editora Autàntica; 2a ed.; 2020; 86 pag.; R$ 20
254 - f°sica mais que divertida; Eduardo de Campos Valadares; Editora UFMG; 3a ed.; 2012; 327 pag.; R$ 30
255 - f°sica matem†tica; Eugene Butkov; Editora LTC; 1a ed.; 2011; 725 pag.; R$ 100
256 - f°sica parte I: mecÉnica, ac£stica e calor; Resnick e Halliday; Editora Ao Livro TÇcnico; 1a ed.; 1967; 704 pag.; R$ 20
257 - f°sica parte II: eletricidade, magnetismo e ¢ptica; Halliday e Resnick; Editora Ao Livro TÇcnico; 1a ed.; 1966; 736 pag.; R$ 20
258 - f°sica quÉntica; R. Eisberg e R. Resnick; Editora Campus; 14a ed.; 1979; 928 pag.; R$ 100
259 - geometria anal°tica; charles h. lehmann; Editora Globo; 5a ed.; 1985; 457 pag.; R$ 30
260 - geometria ii; A. C. Morgado, E. Wagner e M. Jorge; Editora Livraria Francisco Alves; 1a ed.; 1974; 286 pag.; R$ 10
261 - geometrografia 1; Virgilio Athayde Pinheiro; Editora Bahiense; 1a ed.; 1974; 346 pag.; R$ 20
262 - geometrografia 2; Virgilio Athayde Pinheiro; Editora Aula; 1a ed.; 1986; 290 pag.; R$ 40
263 - golpe de estado um manual pr†tico; Edward Luttwak; Editora Paz e Terra; 1a ed.; 1991; 199 pag.; R$ 20
264 - grace jiu-jitsu; HÇlio Grace; Editora Saraiva; 1a ed.; 2012; 273 pag.; R$ 300
265 - gram†tica da l°ngua francesa; Roberto Alvim Corràa e Sary Hauser Steinberg; Editora FENAME; 3a ed.; 1982; 342 pag.; R$ 10
266 - gram†tica, redaá∆o, literatura; Celso Puccinelli e Fl†vio A. C. Leite; Editora Did†tica Paulista; 1a ed.; ; 476 pag.; R$ 5
267 - grande enciclopÇdia larousse cultural vol. 1 - 24; ; Editora Nova Cultura; 1a ed.; 1998; 6113 pag.; R$ 150
268 - grandes civilizaá‰es do passado: a grÇcia antiga; Furio Durando; Editora Folio; 1a ed.; ; 288 pag.; R$ 20
269 - grandes contos h. p. lovecraft; H. P. Lovecraft; Editora Martin Claret; 1a ed.; 2015; 1174 pag.; R$ 50
270 - gravelight; Marion Zimmer Bradley; Editora Rocco; 1a ed.; 2001; 397 pag.; R$ 5
271 - grupos, corpos e teoria de galois; Paulo A. Martin; Editora Livraria da F°sica; 1a ed.; 2010; 429 pag.; R$ 30
272 - guia completo da b°blia; ; Editora Reader's Digest; 1a ed.; 2003; 448 pag.; R$ 50
273 - guia completo de jiu-jitsu; Bruce Tegner; Editora Record; 7a ed.; 2003; 170 pag.; R$ 30
274 - guia completo de judì; Bruce Tegner; Editora Record; 15a ed.; 2002; 303 pag.; R$ 30
275 - guia completo de jukadì; Bruce Tegner; Editora Record; 2a ed.; 1968; 261 pag.; R$ 30
276 - guia completo de jukadì; Bruce Tegner; Editora Record; 2a ed.; 1968; 261 pag.; R$ 10
277 - guia completo do karatà; Bruce Tegner; Editora Record; 14a ed.; 1998; 299 pag.; R$ 30
278 - guia completo e pr†tico jiu-jitsu autodefesa: mÇtodo kawaishi; Marcial Serrano; Editora Clube de Autores; 1a ed.; 2012; 286 pag.; R$ 60
279 - guia das artes marciais: muay tai - boxe tailandàs; Luis Alves e Artur Mariano; Editora On Line; 3a ed.; 2016; 98 pag.; R$ 30
280 - guia de consulta r†pida asp; Rubens Prates; Editora Novatec; 1a ed.; 2000; 128 pag.; R$ 8
281 - guia de consulta r†pida bash; Joel Saade; Editora Novatec; 1a ed.; 2001; 96 pag.; R$ 8
282 - guia de consulta r†pida c++; Joel Saade; Editora Novatec; 2a ed.; 2006; 127 pag.; R$ 20
283 - guia de consulta r†pida c++ stl; Joel Saade; Editora Novatec; 1a ed.; 2006; 136 pag.; R$ 20
284 - guia de consulta r†pida comandos do linux; Roberto G. A. Veiga; Editora Novatec; 1a ed.; 2004; 144 pag.; R$ 20
285 - guia de consulta r†pida css; Luis Gustavo Amaral; Editora Novatec; 3a ed.; 2009; 120 pag.; R$ 20
286 - guia de consulta r†pida html4; Marcelo Silveira e Rubens Prates; Editora Novatec; 1a ed.; 2001; 128 pag.; R$ 15
287 - guia de consulta r†pida java 6; Peter Jandl Jr.; Editora Novatec; 1a ed.; 2009; 144 pag.; R$ 20
288 - guia de consulta r†pida java e xml; Renà Rodrigues Veloso; Editora Novatec; 2a ed.; 2007; 109 pag.; R$ 20
289 - guia de consulta r†pida javascript; Edgard B. Damiani; Editora Novatec; 3a ed.; 2006; 144 pag.; R$ 20
290 - guia de consulta r†pida perl; DÇcio Jr.; Editora Novatec; 1a ed.; 2000; 128 pag.; R$ 18
291 - guia de consulta r†pida php 5; Juliano Niederauer; Editora Novatec; 3a ed.; 2004; 144 pag.; R$ 20
292 - guia de consulta r†pida xml; Ot†vio C. DÇcio; Editora Novatec; 1a ed.; 2000; 96 pag.; R$ 8
293 - guia de suplementos alimentares para atletas; FrÇdÇric Delavier e Michael Gundill; Editora Manole; 1a ed.; 2009; 160 pag.; R$ 40
294 - guia dos seus direitos; JosuÇ Rios; Editora Globo; 12a ed.; 2002; 910 pag.; R$ 60
295 - guia essensial do html5: usando jogos para aprender html5 e javascript; Jeanine Meyer; Editora Ciància Moderna; 1a ed.; 2011; 385 pag.; R$ 70
296 - guia ilustrado zahar: vinhos do mundo todo; Suzan Keevil; Editora Zahar; 4a ed.; 2010; 688 pag.; R$ 50
297 - guia mang† de estat°stica; Shin Takahashi, Iroha Inoue e Trend-Pro Co Ltd; Editora Novatec; 1a ed.; 2010; 215 pag.; R$ 20
298 - guia pr†tico da autosuficiància; John Seymour; Editora WMF Martins Fontes; 6a ed.; 2011; 256 pag.; R$ 50
299 - guia pr†tico do karatà; Hirokazu Kanazawa; Editora Escala; 1a ed.; 2010; 232 pag.; R$ 100
300 - hand shadows to be thrown upon the wall; Hery Bursill; Editora Dover; 1a ed.; 1967; 17 pag.; R$ 50
301 - hist¢ria da filosofia ocidental 1: a filosofia antiga; Bertrand Russell; Editora Nova Fronteira; 1a ed.; 2015; 363 pag.; R$ 20
302 - hist¢ria da filosofia ocidental 2: filosofia cat¢lica; Bertrand Russell; Editora Nova Fronteira; 1a ed.; 2015; 222 pag.; R$ 20
303 - hist¢ria da filosofia ocidental 3: a filosofia moderna; Bertrand Russell; Editora Nova Fronteira; 1a ed.; 2015; 405 pag.; R$ 20
304 - hist¢ria da matem†tica; Carl B. Boyer; Editora Edgar Blucher; 2a ed.; 1996; 496 pag.; R$ 50
305 - hist¢ria do ate°smo; George Minois; Editora Unesp; 1a ed.; 2014; 762 pag.; R$ 70
306 - hp 50g calculadora gr†fica guia do usu†rio cap. 1 a 11 e cap. 12 a 27; ; Editora HP; 1a ed.; 2006; 918 pag.; R$ 0
307 - i ching: o livro das mutaá‰es - or†culo chinàs; ; Editora Renes; 1a ed.; 1972; 64 pag.; R$ 10
308 - imobilizaá‰es e deslocamentos em lutas de solo; Steve Scott; Editora Madras; 1a ed.; 2011; 278 pag.; R$ 80
309 - inglàs para pais e filhos; Carol Vorderman; Editora Publifolha; 1a ed.; 2013; 256 pag.; R$ 20
310 - ingàs b†sico; A. Ghio D.; Editora Pisa; 1a ed.; 1994; 259 pag.; R$ 200
311 - iniciaá∆o Ö f°sica matem†tica; J. L¢pez Gondar e R. Cipolatti; Editora IMPA; 2a ed.; 2011; 304 pag.; R$ 25
312 - iniciaá∆o Ö l¢gica matem†tica; Edgard de Alencar Filho; Editora Nobel; 1a ed.; 2009; 203 pag.; R$ 50
313 - iniciaá∆o Ö matem†tica: um curso com problemas e soluá‰es; Kreley I. M. Oliveira e Ad†n J. C. Fernandez; Editora SBM; 2a ed.; 2012; 291 pag.; R$ 5
314 - instruá‰es psicofìnicas; Francisco CÉndido Xavier; Editora FEB; 6a ed.; 1955; 289 pag.; R$ 5
315 - introduá∆o Ö cibernÇtica; W. Ross Ashby; Editora Perspectiva; 1a ed.; 1970; 345 pag.; R$ 20
316 - introduá∆o Ö filosofia matem†tica; Bertrand Russell; Editora Zahar; 1a ed.; 2007; 247 pag.; R$ 25
317 - introduá∆o Ö programaá∆o linear; R. Stansbury Stockton; Editora Atlas; 3a ed.; 1975; 136 pag.; R$ 5
318 - introduá∆o Ö relatividade; Nelson B. Maia; Editora Livraria da F°sica; 1a ed.; 2009; 148 pag.; R$ 10
319 - introduá∆o Ö resistància dos materiais; Oct†vio Gaspar Ricardo; Editora UNICAMP; 1a ed.; 1977; 412 pag.; R$ 30
320 - introduá∆o Ö topologia diferencial; Elon Lages Lima; Editora IMPA; 2a ed.; 2012; 166 pag.; R$ 20
321 - introduá∆o Ös tÇcnicas de demonstraá∆o na matem†tica; John Fossa; Editora Livraria da F°sica; 2a ed.; 2009; 150 pag.; R$ 20
322 - isto Ç (ediá∆o especial): constiruiá∆o da rep£blica federativa do brasil 1988; ; Editora Fundaá∆o Universit†ria JosÇ Bonif†cio; 1a ed.; 1988; 42 pag.; R$ 100
323 - java a referància completa; Herbert Schildt; Editora Alta Books; 8a ed.; 2014; 1148 pag.; R$ 250
324 - java como programar; Paul e Harvey Deitel; Editora Pearson; 10a ed.; 2017; 934 pag.; R$ 500
325 - javascript: o guia definitivo; David Flanagan; Editora Bookman; 6a ed.; 2013; 1062 pag.; R$ 150
326 - jiu-jitsu sem mestre; Luiz Fuki; Editora Ediouro; 1a ed.; ; 152 pag.; R$ 30
327 - jogos de cartas; ; Editora Abril; 1a ed.; 1978; 216 pag.; R$ 30
328 - jogos em hrml5 explore o mobile e f°sica; êderson C†ssio; Editora Casa do C¢digo; 1a ed.; 2015; 243 pag.; R$ 60
329 - judo katas; Charles Yerkow; Editora Hispano Europea; 5a ed.; 1963; 171 pag.; R$ 50
330 - judo kodokan; Jigoro Kano; Editora Cultrix; 1a ed.; 2008; 271 pag.; R$ 60
331 - judì manual pr†tico; Robert Lasserre; Editora Mestre Jou; 1a ed.; 1969; 292 pag.; R$ 100
332 - karate-do manual pr†tico; Robert Lasserre; Editora Mestre Jou; 1a ed.; 1968; 153 pag.; R$ 20
333 - karatà dinÉmico; M. Nakayama; Editora Cultrix; 11a ed.; 2011; 304 pag.; R$ 200
334 - karatà-do kyohan; Gichin Funakoshi; Editora Cultrix; 1a ed.; 2014; 272 pag.; R$ 60
335 - karatà-katas; Oswaldo Duncan; Editora Ediouro; 1a ed.; 1979; 182 pag.; R$ 20
336 - krav mag† a filosofia da defesa israelense; Kobi Lichtenstein; Editora Imago; 2a ed.; 2006; 328 pag.; R$ 300
337 - lingua latina per se illustrata familia romana; Hans H. Orberg; Editora Focus; 2a ed.; 2011; 328 pag.; R$ 350
338 - lingua latina per se illustrata roma aeterna; Hans H. Orberg; Editora Focus; 2a ed.; 2017; 423 pag.; R$ 300
339 - livro completo do tai chi chuan; Wong Kiew Kit; Editora Pensamento; 1a ed.; 2014; 320 pag.; R$ 30
340 - liá‰es de tai ji jian com espada; W. W. Lee; Editora Madras; 1a ed.; 2003; 97 pag.; R$ 15
341 - liá‰es de trigonometria retil°nea e de c†lculo vetorial; Alberto Nunes Serr∆o; Editora Ediá‰es Boffoni; 1a ed.; 1942; 240 pag.; R$ 80
342 - logicomix uma jornada Çpica em busca da verdade; Apostolos Doxiadis e Christos H. Papadimitriou; Editora WMF Martins Fontes; 1a ed.; 2010; 347 pag.; R$ 50
343 - lolita; Vladimir Nabokov; Editora Folha de S∆o Paulo; 1a ed.; 2003; 319 pag.; R$ 10
344 - luta por pontos de press∆o; Rick Clark; Editora Record; 1a ed.; 2004; 256 pag.; R$ 30
345 - l¢gica; Wesley C. Salmon; Editora LTC; 3a ed.; 2002; 91 pag.; R$ 30
346 - l¢gica - exerc°cios - iv: deduá∆o no c†lculo de predicados; Leìnidas Hegenberg; Editora EDUSP; 1a ed.; 1978; 200 pag.; R$ 20
347 - l¢gica de primeira ordem; Raymond M. Smullyan; Editora Unesp; 1a ed.; 2009; 188 pag.; R$ 20
348 - l¢gica de programaá∆o e algoritmos com javascript; EdÇcio Fernando Iepsen; Editora Novatec; 2a ed.; 2022; 350 pag.; R$ 60
349 - l¢gica de programaá∆o: a construá∆o de algoritmos e estruturas de dados; AndrÇ Luiz V. Forbellone e Henri F. EberspÑcher; Editora Pearson; 4a ed.; 2022; 305 pag.; R$ 70
350 - l¢gica de programaá∆o: crie seus peimeiros programas usando javascript e html; Paulo Silveira e Adriano Almeida; Editora Casa do C¢digo; 1a ed.; 2017; 180 pag.; R$ 50
351 - l¢gica de programaá∆o: crie seus peimeiros programas usando javascript e html; Paulo Silveira e Adriano Almeida; Editora Casa do C¢digo; 1a ed.; 2017; 180 pag.; R$ 50
352 - l¢gica e jogos l¢gicos; Z. P. Dienes e E. W. Golding; Editora EPU; 3a ed.; 1976; 105 pag.; R$ 10
353 - l¢gica e †lgebra de boole; Jacob Daghlian; Editora Atlas; 4a ed.; 1995; 167 pag.; R$ 20
354 - l¢gica formal e sua aplicaá∆o na argumentaá∆o matem†tica; Thiago de Oliveira Alves; Editora UFJF; 1a ed.; 2016; 99 pag.; R$ 0
355 - l¢gica indutiva e probabilidade; Newton da Costa; Editora Hucitec; 3a ed.; 2008; 89 pag.; R$ 30
356 - l¢gica matem†tica; RogÇrio Augusto dos Santos Fajardo; Editora Edusp; 1a ed.; 2017; 208 pag.; R$ 30
357 - l¢gica uma introduá∆o voltada para as ciàncias; Stan Baronett; Editora Bookman; 1a ed.; 2009; 563 pag.; R$ 100
358 - l¢gica: uma abordagem introdut¢ria; M†rcia da Silva Martins; Editora Ciància Moderna; 1a ed.; 2012; 149 pag.; R$ 20
359 - manual completo de aberturas de xadrez; Fred Reinfeld; Editora Ibrasa; 15a ed.; 1979; 181 pag.; R$ 50
360 - manual de defesa da fÇ: apologÇtica crist∆; Peter Kreeft e Ronald K. Tacelli; Editora Central Gospel; 1a ed.; 2008; 624 pag.; R$ 150
361 - manual de induá∆o matem†tica; Lu°s Lopes; Editora Interciància; 1a ed.; 1999; 132 pag.; R$ 30
362 - manual de litaretura guia pr†tico de portuguàs; Patricia Martins e Teresinha de Oliveira Ledo; Editora DCL; 1a ed.; 2004; 346 pag.; R$ 5
363 - manual de preparaá∆o f°sica para o karatà; Marco Antìnio Lopes de S†; Editora Ediouro; 1a ed.; 1988; 119 pag.; R$ 15
364 - manual do hedonista: dominando a esquecida arte do prazer; Michael Flocker; Editora Rocco; 1a ed.; 2007; 181 pag.; R$ 5
365 - manual pr†tico de artes marciais; Fay Goodman; Editora Estampa; 1a ed.; 2000; 256 pag.; R$ 100
366 - manual pr†tico de marcenaria; Domingos Marcellini; Editora Ediouro; 1a ed.; ; 277 pag.; R$ 7
367 - manual pr†tico do construtor e mestre-de-obras; Rino Vogorelli; Editora Hemus; 1a ed.; 1969; 181 pag.; R$ 50
368 - matem†tica financeira; Clovis de Faro; Editora Apec; 8a ed.; 1980; 406 pag.; R$ 20
369 - matem†tica para pais e filhos; Carol Vorderman; Editora Publifolha; 1a ed.; 2011; 256 pag.; R$ 30
370 - mentes geniais: aumente 300% a capacidade do seu cÇrebro; Alberto Dell'isola; Editora Universo dos Livros; 3a ed.; 2018; 319 pag.; R$ 25
371 - mentes interligadas; Dean Radin; Editora Aleph; 1a ed.; 2008; 334 pag.; R$ 20
372 - minidicion†rio escolar de espanhol; ; Editora Ciranda Cultural; a ed.; ; 349 pag.; R$ 5
373 - minidicion†rio oxford: portuguàs-inglàs, inglàs-portuguàs; John Whitlam e Lia Correia Raitt; Editora SBS; 10a ed.; 2002; 634 pag.; R$ 17
374 - moderna gram†tica portuguesa; Evanildo Bechara; Editora Nova Fronteira; 38a ed.; 2015; 689 pag.; R$ 35
375 - muai thai b†sico tÇcnicas introdut¢rias de boxe tailandàs; Christoph Delp; Editora Madras; 1a ed.; 2012; 220 pag.; R$ 80
376 - mÇdium quem Ç e quem n∆o Ç; DemÇtrio P†vel Bastos; Editora Instituto Maria; 1a ed.; ; 108 pag.; R$ 5
377 - mÇtodo sonhadora; P. E. Amsco; Editora Irm∆os Vitale; 1a ed.; 1942; 19 pag.; R$ 10
378 - mÇtodos para hipnotizar; Ernest Roth; Editora Ediouro; 1a ed.; 1984; 118 pag.; R$ 10
379 - m†quina do tempo um olhar cient°fico; M†rio Novello; Editora Jorge Zahar; 2a ed.; 2005; 206 pag.; R$ 20
380 - naturalismo; Jack Ritchie; Editora Vozes; 1a ed.; 2012; 316 pag.; R$ 30
381 - negociaá∆o e sua dinÉmica na empresa; Francisco Gomes de Matos; Editora LTC; 1a ed.; 1982; 89 pag.; R$ 10
382 - novas aventuras cient°ficas de sherlock holmes; Colin Bruce; Editora Jorge Zahar; 1a ed.; 2003; 258 pag.; R$ 40
383 - novo dicion†rio de esperanto; Allan Kardec Afonso Costa; Editora FEB; 2a ed.; 1987; 544 pag.; R$ 20
384 - noá‰es de geometria descritiva vol. 1; Alfredo dos Reis Principe Junior; Editora Nobel; 38a ed.; 1983; 311 pag.; R$ 20
385 - noá‰es de geometria descritiva vol. 2; Alfredo dos Reis Principe Junior; Editora Nobel; 24a ed.; 1979; 327 pag.; R$ 20
386 - numerologia: o futuro e a personalidade atravÇs dos n£meros; Graciela Skilton; Editora Agedit; 1a ed.; ; 86 pag.; R$ 3
387 - n∆o seja mais uma v°tima; JosÇ Roberto Romeiro Abrah∆o e Ricardo Nakayama; Editora Bueno; 1a ed.; 2013; 257 pag.; R$ 50
388 - o anticristo; Friedrich Nietzsche; Editora Martin Claret; 1a ed.; 2012; 115 pag.; R$ 10
389 - o b†sico da filosofia; Nigel Warburton; Editora JosÇ Olympio; 1a ed.; 2008; 254 pag.; R$ 25
390 - o capital em quadrinhos; K. Ploeckinger, G. Wolfram e Lucio Colletti; Editora Global; 3a ed.; 1985; 80 pag.; R$ 5
391 - o conde de monte cristo; Alexandre Dumas; Editora Zahar; 1a ed.; 2012; 1663 pag.; R$ 20
392 - o c†lculo com geometria anal°tica vol. 1; Louis Leithold; Editora Harbra; 3a ed.; 1994; 685 pag.; R$ 80
393 - o c†lculo com geometria anal°tica vol. 2; Louis Leithold; Editora Harbra; 3a ed.; 1994; 491 pag.; R$ 80
394 - o dia a dia do professor; ; Editora Nova Fronteira; 1a ed.; 2014; 191 pag.; R$ 10
395 - o futuro Ç hoje: educaá∆o financeira para n∆o estudantes; F†bio Giambiagi e Roberto Zentgraf; Editora Campus; 1a ed.; 2010; 183 pag.; R$ 5
396 - o homem que calculava; Malba Tahan; Editora Get£lio M. Costa; 4a ed.; 1939; 239 pag.; R$ 5
397 - o homem que fugiu para a lua; Ivani Egalon; Editora Schoba; 1a ed.; 2012; 316 pag.; R$ 10
398 - o livro da sorte; ; Editora Nova Cultura; 1a ed.; 1985; 348 pag.; R$ 50
399 - o livro das m†gicas; Max Yantok; Editora Ediouro; 1a ed.; ; 170 pag.; R$ 5
400 - o livro de allan kardec; Allan Kardec; Editora Opus; 3a ed.; 1982; 1308 pag.; R$ 150
401 - o livro de m¢rmon: outro testamento de jesus cristo; Joseph Smith; Editora A Igreja de Jesus C. dos Santos dos Èltimos Dias; 1a ed.; 2007; 221 pag.; R$ 20
402 - o livro de ouro da b°blia; J. W. Rogerson; Editora Ediouro; 1a ed.; 2010; 348 pag.; R$ 20
403 - o livro de ouro das religi‰es; John Bowker; Editora Ediouro; 1a ed.; 2010; 537 pag.; R$ 20
404 - o livro do kiai e dos kuatsu; Robert Lasserre; Editora Mestre Jou; 1a ed.; 1971; 184 pag.; R$ 20
405 - o livro dos cinco anÇis; Miyamoto Musashi; Editora Hunter Books; 5a ed.; 2015; 160 pag.; R$ 20
406 - o livro dos desafios vol. 2; Charles Barry Townsend; Editora Ediouro; 1a ed.; 2004; 258 pag.; R$ 20
407 - o livro dos pol°ticos; Her¢doto Barbeiro e Bruna Cantele; Editora Ediouro; 1a ed.; 2008; 288 pag.; R$ 5
408 - o melhor da super; ; Editora Abril; 1a ed.; 2013; 320 pag.; R$ 20
409 - o melhor do humor na internet vol. 2; Augusto M. Costa Netto; Editora BestSeller; 1a ed.; 2010; 247 pag.; R$ 5
410 - o momento ideal das artes marciais; Loren W. Christensen e Wim Demeere; Editora Madras; 1a ed.; 2011; 340 pag.; R$ 150
411 - o monge no jardim; Robin Marantz Henig; Editora Rocco; 1a ed.; 2001; 256 pag.; R$ 10
412 - o mundo em infogr†fico; Jon Richards e Ed Simkins; Editora Sextante; 1a ed.; 2010; 192 pag.; R$ 20
413 - o problema das definiá‰es em matem†tica; Malba Tahan; Editora Saraiva; 1a ed.; 1965; 215 pag.; R$ 15
414 - o segredo; Rhonda Byrne; Editora Ediouro; 1a ed.; 2007; 198 pag.; R$ 10
415 - o senhor dos anÇis vol. £nico; J. R. R. Tolkien; Editora Martins Fontes; 1a ed.; 2001; 1202 pag.; R$ 60
416 - o tao do jet kune do; Bruce Lee; Editora Conrad Livros; 4a ed.; 3003; 239 pag.; R$ 65
417 - o universo; Paul Couderc e Jean-Claude Pecker; Editora Ediá‰es 70; 1a ed.; 1987; 137 pag.; R$ 10
418 - o verdadeiro caminho do karatà; A. G. Gotuzzo Tagnin; Editora Edigraf; 1a ed.; 1973; 560 pag.; R$ 20
419 - organon; Arist¢teles; Editora Edipro; 2a ed.; 2010; 608 pag.; R$ 70
420 - os 300 erros mais comuns da l°ngua portuguesa; Eduardo Martins; Editora Barros Fischer e Associados; 1a ed.; 2011; 128 pag.; R$ 20
421 - os elementos; Euclides; Editora Unesp; 1a ed.; 2009; 600 pag.; R$ 100
422 - os pensadores: hume; Janice Florido; Editora Nova Cultura; 1a ed.; 1999; 352 pag.; R$ 10
423 - os pensadores: newton e leibniz; Hugh Mattew Lacey; Editora Abril; 2a ed.; 1983; 237 pag.; R$ 10
